Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
02,"BGM","Wild Ride","02:47:932","00:51:148","true","false"
03,"BONCZY","Ultima","02:54:927","00:55:325","true","false"
04,"RADIANCER","Off Gear","02:58:724","00:55:921","true","false"
05,"GREY","Mongoose","03:03:007","00:59:011","true","false"
06,"ALDAMA757","Dr. Grudge","03:05:597","00:59:276","true","false"
07,"AHMA","NY 54","03:08:181","00:58:712","true","false"
08,"OWEOWE","Mystery","03:08:654","00:59:014","true","false"
09,"MATRIX","Vixen","03:12:381","00:58:505","true","false"
10,"LOQ","Groovster","03:14:937","01:00:518","true","false"
11,"IURI","Evil Weasel","03:18:159","01:03:054","true","false"
12,"KONDRAKOV67","LMW","03:19:131","01:01:982","true","false"
13,"VARSA","Candy Pebbles","03:21:063","01:01:504","true","false"
14,"ZERNAMIO","Star Carbs","03:21:203","01:02:748","true","false"
15,"&","Groovster","03:28:829","01:02:048","true","false"
16,"ZIGC","Dr. Grudge","03:41:539","01:02:274","true","false"
Results,"Home 2",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"AHMA","NY 54","01:51:039","00:34:911","true","false"
02,"OWEOWE","Mystery","01:59:293","00:37:851","true","false"
03,"KILABARUS","Kyarus","02:02:486","00:36:262","true","false"
04,"VARSA","Star Carbs","02:06:481","00:39:356","true","false"
05,"GREY","Mongoose","02:08:189","00:40:607","true","false"
06,"MATRIX","Vixen","02:08:406","00:39:470","true","false"
07,"ALDAMA757","Dr. Grudge","02:09:073","00:41:774","true","false"
08,"&","Groovster","02:09:614","00:38:953","true","false"
09,"BGM","Wild Ride","02:09:852","00:39:864","true","false"
10,"KONDRAKOV67","LMW","02:12:882","00:41:811","true","false"
11,"IURI","Evil Weasel","02:13:156","00:41:047","true","false"
12,"ZIGC","Dr. Grudge","02:13:635","00:41:553","true","false"
13,"BONCZY","Ultima","02:14:525","00:37:581","true","false"
14,"RADIANCER","Off Gear","02:15:550","00:38:875","true","false"
15,"ZERNAMIO","Mongoose","02:17:816","00:43:867","true","false"
16,"LOQ","Wild Ride","02:19:213","00:40:928","true","false"
Results,"Port Limano 2",16
